<br><font color=teal>*Kush, Anguo(Waterpark) says: No. - Wed Oct  7 00:29:52 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Aww... - Wed Oct  7 00:30:43 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: .... - Wed Oct  7 00:31:34 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: He'd be fairly badass though. - Wed Oct  7 00:31:34 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I'm sure. - Wed Oct  7 00:31:34 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: What makes you think someone who summons sheep threatening? I just wanted to pet one. - Wed Oct  7 00:31:34 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Considering one who summons dinosaurs died the other day. - Wed Oct  7 00:33:16 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: To a man who summons rats. - Wed Oct  7 00:33:16 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I'm not sure. - Wed Oct  7 00:33:16 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: How...did he die to rats? - Wed Oct  7 00:34:08 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Who knows. - Wed Oct  7 00:34:08 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: It only goes to show. - Wed Oct  7 00:34:08 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Nurture surpasses nature. - Wed Oct  7 00:34:08 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: I don't think that what that shows. - Wed Oct  7 00:34:08 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: It's your perspective. - Wed Oct  7 00:34:59 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: I summon rats! - Wed Oct  7 00:36:41 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: But I didn't kill anyone... - Wed Oct  7 00:36:41 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Don't worry about it, child. - Wed Oct  7 00:41:48 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I don't reference you. - Wed Oct  7 00:41:48 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: Oh. Ok. - Wed Oct  7 00:47:47 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Hmmm. - Wed Oct  7 00:50:20 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: What's your name, Religious one? - Wed Oct  7 00:52:54 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Tramerus you may call me Tram if you wish. - Wed Oct  7 00:53:45 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Tram. - Wed Oct  7 00:55:28 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I see. - Wed Oct  7 00:55:28 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Get familiar with Si'nichi there. - Wed Oct  7 00:55:28 2015
<br><br><font color=teal>*Tramerus(Simbasax) says: Nice to meet you Si'nichi. - Wed Oct  7 00:56:19 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Haven't seen any of you guys here in this village before.  - Wed Oct  7 00:58:01 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: We don't come here so frequent. - Wed Oct  7 01:06:33 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: That's why. - Wed Oct  7 01:06:33 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Koeki, was it? - Wed Oct  7 01:11:40 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: So why are you here? - Wed Oct  7 01:12:32 2015
<br><br><font color=teal>*Tramerus(Simbasax) thinks: The great Ares brought him here... - Wed Oct  7 01:15:05 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Hm? - Wed Oct  7 01:16:48 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Yeah. - Wed Oct  7 01:16:48 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Who are you and what do you need? - Wed Oct  7 01:17:39 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I'll cut to the chase. - Wed Oct  7 01:20:12 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: My name is God D. Leader. - Wed Oct  7 01:20:12 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: And I'm in search of the Kiba Blades. - Wed Oct  7 01:20:12 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Well your search won't do you any good. - Wed Oct  7 01:21:04 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: You won't get them. - Wed Oct  7 01:21:04 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Property of kirigakure. - Wed Oct  7 01:21:04 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) thinks: God... D....Leader.... what the hell. - Wed Oct  7 01:21:55 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Kenshin's also property of Kirigakure. - Wed Oct  7 01:21:55 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: But he got killed. - Wed Oct  7 01:21:55 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Doubt it. - Wed Oct  7 01:21:55 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I don't see what the difference is. - Wed Oct  7 01:21:55 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Anywho... - Wed Oct  7 01:22:46 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: Kenshins too quick for anyone. - Wed Oct  7 01:22:46 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: Property of Kirigakure or not.... - Wed Oct  7 01:22:46 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: You are talking to the person that broke his jaw.... and probably his groin. - Wed Oct  7 01:22:46 2015
<br><br><font color=teal>*ANBU Agent(RuinousAnchor) says: I'd like to take them off of your hands. - Wed Oct  7 01:22:46 2015
