<br><font color=yellow>*Heiwa(PythonJedi) didn't take his eyes away from the woman, his stare unwavering. "I asked if you knew my dad - Ushinawa," the young child responds back with.* - Sun Oct  4 01:59:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You attacked him.. - Sun Oct  4 01:59:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: For no reason.. - Sun Oct  4 01:59:53 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: It wasn't for no reason. - Sun Oct  4 02:00:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: What reason? - Sun Oct  4 02:00:44 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Do you see that. - Sun Oct  4 02:00:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sun Oct  4 02:00:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: See what? - Sun Oct  4 02:00:44 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: That. - Sun Oct  4 02:00:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ... - Sun Oct  4 02:00:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: See what? - Sun Oct  4 02:00:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: .... - Sun Oct  4 02:03:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I can't argue this.. - Sun Oct  4 02:03:18 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Good job. Now the pot of water wont cause a house fire. - Sun Oct  4 02:04:09 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You next. - Sun Oct  4 02:04:09 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) 's eyes glanced across the woman, noticing faintly familiar features similar partly to his father. "Who was he to you then?" the child asks, his tone inquisitive, but a bit harsh.* - Sun Oct  4 02:12:41 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: My brother, Child. - Sun Oct  4 02:15:15 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Do you know what happened to him? - Sun Oct  4 02:16:06 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: No one knows. - Sun Oct  4 02:16:57 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: But that is what i'm going to find out. - Sun Oct  4 02:16:57 2015
<br><br><font color=teal>*Storm(Sisbro55) says: --- - Sun Oct  4 02:17:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..He mentioned Tetsujin before he died. I think he did it. - Sun Oct  4 02:17:48 2015
<br><br><font color=teal>*Storm(Sisbro55) says: Yo. - Sun Oct  4 02:18:40 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) brow narrowed as he said that, eyes flashing briefly with a bitterness reminiscent of Ushinawa. * - Sun Oct  4 02:18:40 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: I see. - Sun Oct  4 02:19:31 2015
<br><br><font color=teal>*Storm(Sisbro55) says: --- - Sun Oct  4 02:20:22 2015
<br><br><font color=teal>*Storm(Sisbro55) thinks: Unnoticed. - Sun Oct  4 02:20:22 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Yo, what's your name? - Sun Oct  4 02:20:22 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: What's wrong? - Sun Oct  4 02:22:56 2015
<br><br><font color=teal>*Storm(Sisbro55) says: --- - Sun Oct  4 02:22:56 2015
<br><br><font color=teal>*Storm(Sisbro55) says: You talkin t me? - Sun Oct  4 02:22:56 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Ye'.. - Sun Oct  4 02:23:47 2015
<br><br><font color=teal>*Storm(Sisbro55) says: Oh, my names Storm. - Sun Oct  4 02:23:47 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: She enters the caravan*_ - Sun Oct  4 02:25:29 2015
<br><br><font color=teal>*Storm(Sisbro55) says: --- - Sun Oct  4 02:28:03 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Chill the fuck out. - Sun Oct  4 02:32:19 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) blinked, staring at the random scene playing out infront of him. All because, presumably, he was trying to get a dog. It was at that point that Heiwa made a mental note not to fuck with Storm as he backed up from the two. * - Sun Oct  4 02:34:52 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Yo. What the fuck. - Sun Oct  4 02:40:00 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) thinks: Time to drop a bitch. - Sun Oct  4 02:40:51 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) again steps the fuck out of this shit. Like..damn niggas you scary.* - Sun Oct  4 02:47:40 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Yo. - Sun Oct  4 04:09:36 2015
