<br><font color=teal>*Kyubishu(Dillion13) says: RIght.. - Sat Dec  5 18:49:23 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Sorry. - Sat Dec  5 18:51:05 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: I just don't work well with others. - Sat Dec  5 18:51:05 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Geo, feel like training? - Sat Dec  5 18:51:56 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Sure Kyu. - Sat Dec  5 18:52:48 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Start off. - Sat Dec  5 18:53:39 2015
<br><br><font color=yellow>*Kagayaki, Hyoryu(Chaos Commander2016) Gold Sand Manip T1, CC T1, Elemental Training Magnetism And Sand coffin.* - Sat Dec  5 19:49:58 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ....He's right here, ensnared. - Sat Dec  5 21:06:46 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: That is him? - Sat Dec  5 21:06:46 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Yup. Why? - Sat Dec  5 21:07:37 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: He's shady. - Sat Dec  5 21:07:37 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: Uhh...Just hear to challenge him? - Sat Dec  5 21:07:37 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: Yeah...Just here to challenge me. - Sat Dec  5 21:07:37 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: You want to fight me? - Sat Dec  5 21:08:28 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Seriously..? - Sat Dec  5 21:08:28 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: Uhh.. - Sat Dec  5 21:08:28 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: Yes. - Sat Dec  5 21:08:28 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Eh. The fight is over, so. - Sat Dec  5 21:08:28 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: Do you accept my challenge? - Sat Dec  5 21:09:20 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Well sure..I just got revitalized. - Sat Dec  5 21:09:20 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: Hmph..that sounds interesting to say the least. - Sat Dec  5 21:10:11 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Hey. I've been a Shinobi longer than you, how's that? - Sat Dec  5 21:11:02 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: I..Give up. - Sat Dec  5 21:35:47 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ...Damn. - Sat Dec  5 21:36:38 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: That was fast. - Sat Dec  5 21:36:38 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Huh? - Sat Dec  5 21:36:38 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: That's all you have? - Sat Dec  5 21:36:38 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Who are you anyway? - Sat Dec  5 21:36:38 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) says: .... - Sat Dec  5 21:41:45 2015
<br><br><font color=teal>*Kush, Anguo(Waterpark) thinks: Brothers....Kaz... - Sat Dec  5 21:42:36 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: This doesn't suprise you? Since Father and Mother split it was obvious Mother wouldn't leave alone. - Sat Dec  5 21:43:28 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: But..I..I didn't know she was pregnant with you.... - Sat Dec  5 21:43:28 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I wasnt even 1! - Sat Dec  5 21:44:19 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: Father didn't explain this to you? - Sat Dec  5 21:44:19 2015
<br><br><font color=teal>*Kagayaki, Hyoryu(Chaos Commander2016) thinks: This guy seems like someone to stay away from. His hair is obviously dyed. He is a no go. - Sat Dec  5 21:45:10 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: No... - Sat Dec  5 21:46:52 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I didn't know about you - Sat Dec  5 21:46:52 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: I guess Father didn't love mother enough to tell you about myself..Not an ideal man to have as a Father. - Sat Dec  5 21:47:44 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Look here now..You're not going to talk about my father as if you knew him...He's a great man. - Sat Dec  5 21:47:44 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: I guess I shouldn't judge based on silly thoughts, I'm here to tell you but this.. that Mother is dead and her dying wish  was for me to get to know you. - Sat Dec  5 21:50:17 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: .... - Sat Dec  5 21:50:17 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Wh-what? - Sat Dec  5 21:50:17 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: What do you mean she's dead? - Sat Dec  5 21:51:08 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: She died...Off Ebola. - Sat Dec  5 21:51:08 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: omit - Sat Dec  5 21:51:08 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: As I said..she is dead. Plain and simple. - Sat Dec  5 21:51:08 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: ... - Sat Dec  5 21:52:00 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: Mhm...she was a great woman and mother.. We didn't live very weathilty but she was a very strong warrior. - Sat Dec  5 21:56:16 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Sh-she was? Father always told me she wasn't a shinobi...That she was just his wife.. - Sat Dec  5 21:57:07 2015
<br><br><font color=teal>*Kagayaki, Hyoryu(Chaos Commander2016) says: Drama~ *White girl voice* -omit- - Sat Dec  5 21:57:58 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: That damn liar. He is a lying fool. They met in combat they fought nearly equally in battle. - Sat Dec  5 21:57:58 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Wow...Hmm...Eh. - Sat Dec  5 21:57:58 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: It doesn't matter. - Sat Dec  5 21:57:58 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: Moving on... - Sat Dec  5 21:58:49 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: All that matters is that I have you now... - Sat Dec  5 21:58:49 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: I'm here to live a new life..Start again. - Sat Dec  5 21:58:49 2015
<br><br><font color=teal>*Gravel Dude(S3an) says: Get Genin A - Sat Dec  5 21:58:49 2015
