<br><font color=teal>*Ryutou, Ai(Sennalove) says: I plan on holding back in this part. - Tue Dec  1 22:36:22 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Tue Dec  1 22:37:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Why? - Tue Dec  1 22:39:47 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Koji. - Tue Dec  1 22:40:38 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Lets go play. - Tue Dec  1 22:40:38 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Why not? - Tue Dec  1 22:41:29 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm. - Tue Dec  1 22:42:20 2015
<br><br><font color=yellow>*Tsukinomi(Original Ziare) grabbed Koji by the arm leading him to an area where they could play games.* - Tue Dec  1 22:44:03 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: What do you wanna play? - Tue Dec  1 22:44:03 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmm, hide and go seek wouldn't be much fun... We could try catching  ground moles as they pop up! - Tue Dec  1 22:44:54 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Anything you wanna do! - Tue Dec  1 22:45:45 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: When I grow up, i'll be just like you! - Tue Dec  1 22:45:45 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Waaah don't be like me! - Tue Dec  1 22:46:36 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Why not? - Tue Dec  1 22:46:36 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: You're so cool. - Tue Dec  1 22:46:36 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Haha my job is so taxing I just doit to keep you safe. You should totally be yourself haha you're the cool one. - Tue Dec  1 22:48:19 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Tue Dec  1 23:34:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: This is a lively bunch. - Tue Dec  1 23:35:15 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Tue Dec  1 23:40:22 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: I want to work on this leg strength... - Tue Dec  1 23:40:22 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Well. - Tue Dec  1 23:41:13 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: This village certainlty has no idea what hospitality is. - Tue Dec  1 23:41:13 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: We must be up north. - Tue Dec  1 23:41:13 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Travelers. - Tue Dec  1 23:42:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: All over. - Tue Dec  1 23:42:04 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: The womb. - Tue Dec  1 23:42:56 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Yes. - Tue Dec  1 23:42:56 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: A simple visit. - Tue Dec  1 23:43:47 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Tue Dec  1 23:43:47 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: That too. - Tue Dec  1 23:43:47 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Thank you. - Tue Dec  1 23:46:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: "women" - Tue Dec  1 23:46:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Huh...I see. - Tue Dec  1 23:49:45 2015
